time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-03 00:00:00+00:00,14,9,15,8
2023-01-04 00:00:00+00:00,7,5,10,8
2023-01-05 00:00:00+00:00,12,8,35,6
2023-01-06 00:00:00+00:00,15,8,71,14
2023-01-07 00:00:00+00:00,3,3,29,7
2023-01-08 00:00:00+00:00,7,6,14,3
2023-01-09 00:00:00+00:00,9,5,17,7
2023-01-10 00:00:00+00:00,1,1,8,5
2023-01-11 00:00:00+00:00,2,2,22,9
2023-01-12 00:00:00+00:00,4,4,15,10
2023-01-13 00:00:00+00:00,5,3,27,13
2023-01-14 00:00:00+00:00,3,3,12,7
2023-01-15 00:00:00+00:00,2,2,1,1
2023-01-16 00:00:00+00:00,4,3,15,3
2023-01-17 00:00:00+00:00,3,3,3,3
2023-01-18 00:00:00+00:00,2,2,15,7
2023-01-19 00:00:00+00:00,14,6,31,11
2023-01-20 00:00:00+00:00,2,2,15,9
2023-01-21 00:00:00+00:00,2,2,4,3
2023-01-22 00:00:00+00:00,10,5,28,3
2023-01-23 00:00:00+00:00,277,8,12,9
2023-01-24 00:00:00+00:00,53,11,73,8
2023-01-25 00:00:00+00:00,19,10,72,16
2023-01-26 00:00:00+00:00,7,3,22,6
2023-01-27 00:00:00+00:00,8,5,21,8
2023-01-28 00:00:00+00:00,9,6,4,2
2023-01-29 00:00:00+00:00,28,9,54,6
2023-01-30 00:00:00+00:00,30,12,77,9
2023-01-31 00:00:00+00:00,34,16,77,14
2023-02-01 00:00:00+00:00,8,6,5,4
2023-02-02 00:00:00+00:00,10,6,6,4
2023-02-03 00:00:00+00:00,6,4,4,3
2023-02-04 00:00:00+00:00,6,5,8,6
2023-02-05 00:00:00+00:00,3,3,7,4
2023-02-06 00:00:00+00:00,4,4,16,9
2023-02-07 00:00:00+00:00,6,6,12,7
2023-02-08 00:00:00+00:00,1,1,10,5
2023-02-09 00:00:00+00:00,6,4,26,5
2023-02-10 00:00:00+00:00,16,2,2,2
2023-02-11 00:00:00+00:00,1,1,6,2
2023-02-12 00:00:00+00:00,2,2,3,3
2023-02-13 00:00:00+00:00,20,8,46,7
2023-02-14 00:00:00+00:00,27,14,81,15
2023-02-15 00:00:00+00:00,22,13,29,15
2023-02-16 00:00:00+00:00,9,6,28,13
2023-02-17 00:00:00+00:00,22,10,54,11
2023-02-18 00:00:00+00:00,14,8,31,6
2023-02-19 00:00:00+00:00,18,8,41,8
2023-02-20 00:00:00+00:00,33,16,57,14
2023-02-21 00:00:00+00:00,10,6,20,12
