url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,239,90
/PetervanLunteren/AddaxAI/actions,130,2
/PetervanLunteren/AddaxAI/actions/workflows/test-sign-installer.yml,103,1
/PetervanLunteren/AddaxAI/tree/main,72,16
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,60,35
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,51,12
/PetervanLunteren/addaxai,46,1
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/test-sign-installer.yml,43,1
/PetervanLunteren/AddaxAI/edit/main/.github/workflows/test-sign-installer.yml,38,1
/PetervanLunteren/AddaxAI/tree/main/install_files,35,16
