referrer,views_total,views_unique
addaxdatascience.com,173,46
Google,161,37
github.com,127,41
Bing,29,10
wildlabs.net,10,6
pub.towardsai.net,9,2
com.google.android.gm,7,4
edgeservices.bing.com,6,2
yandex.ru,5,2
statics.teams.cdn.office.net,3,2
