referrer,views_total,views_unique
addaxdatascience.com,157,35
Google,156,34
github.com,131,35
Bing,21,8
wildlabs.net,7,4
pub.towardsai.net,7,1
com.google.android.gm,6,3
edgeservices.bing.com,6,2
yandex.ru,5,2
statics.teams.cdn.office.net,3,2
