referrer,views_total,views_unique
addaxdatascience.com,174,59
Google,154,46
github.com,146,36
Bing,25,7
pub.towardsai.net,9,2
wildlabs.net,5,3
DuckDuckGo,5,2
yandex.ru,4,1
com.google.android.gm,3,2
statics.teams.cdn.office.net,3,2
