referrer,views_total,views_unique
Google,145,39
addaxdatascience.com,105,30
github.com,73,22
DuckDuckGo,15,3
Bing,8,5
pub.towardsai.net,5,4
wildlabs.net,3,2
ost.ecosyste.ms,3,1
wildlifedatasets.github.io,1,1
yandex.ru,1,1
