referrer,views_total,views_unique
addaxdatascience.com,158,34
Google,122,35
github.com,88,26
Bing,19,8
DuckDuckGo,15,3
pub.towardsai.net,5,4
wildlabs.net,5,3
edgeservices.bing.com,5,2
com.google.android.gm,4,2
ost.ecosyste.ms,3,1
