url_path,views_total,views_unique
/PetervanLunteren/AddaxAI,156,74
/PetervanLunteren/addaxai,64,2
/PetervanLunteren/AddaxAI/blob/main/AddaxAI_GUI.py,61,19
/PetervanLunteren/AddaxAI/tree/main,54,19
/PetervanLunteren/AddaxAI/blob/main/install_files/windows/manual-install.md,53,32
/PetervanLunteren/AddaxAI/actions,44,2
/PetervanLunteren/AddaxAI/issues,40,13
/PetervanLunteren/AddaxAI/blob/main/.github/workflows/build-macos-release.yml,29,2
/PetervanLunteren/AddaxAI/tree/main/install_files,26,10
/PetervanLunteren/AddaxAI/releases,25,12
