referrer,views_total,views_unique
addaxdatascience.com,146,31
Google,138,37
github.com,79,24
DuckDuckGo,15,3
Bing,10,6
wildlabs.net,6,3
pub.towardsai.net,5,4
ost.ecosyste.ms,3,1
wildlifedatasets.github.io,1,1
yandex.ru,1,1
