url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,274,110
/PetervanLunteren/EcoAssist/actions,105,4
/PetervanLunteren/EcoAssist/blob/main/markdown/manual-install/windows.md,52,33
/PetervanLunteren/EcoAssist/tree/AddaxAI,49,1
/PetervanLunteren/EcoAssist/issues,46,19
/PetervanLunteren/EcoAssist/blob/main/markdown/windows-install-instructions/manual-install.md,35,21
/PetervanLunteren/EcoAssist/actions/workflows/build-windows-release.yml,35,1
/PetervanLunteren/EcoAssist/tree/main/install_files,34,19
/PetervanLunteren/EcoAssist/blob/main/EcoAssist_GUI.py,29,15
/PetervanLunteren/EcoAssist/tree/main,29,12
