referrer,views_total,views_unique
addaxdatascience.com,166,30
Google,135,36
github.com,130,32
Bing,19,8
wildlabs.net,7,4
com.google.android.gm,6,3
edgeservices.bing.com,6,2
ost.ecosyste.ms,3,1
mail.google.com,2,2
statics.teams.cdn.office.net,2,1
