referrer,views_total,views_unique
addaxdatascience.com,158,34
Google,124,35
github.com,123,27
Bing,19,8
DuckDuckGo,15,3
wildlabs.net,6,4
com.google.android.gm,6,3
edgeservices.bing.com,6,2
pub.towardsai.net,5,4
ost.ecosyste.ms,3,1
