referrer,views_total,views_unique
addaxdatascience.com,160,44
Google,142,37
github.com,124,39
Bing,29,10
wildlabs.net,9,5
pub.towardsai.net,9,2
com.google.android.gm,7,4
edgeservices.bing.com,6,2
yandex.ru,5,2
statics.teams.cdn.office.net,3,2
