referrer,views_total,views_unique
Google,187,54
addaxdatascience.com,183,64
github.com,138,38
Bing,48,8
pub.towardsai.net,9,2
wildlabs.net,5,3
DuckDuckGo,5,2
gentoo.ru,4,3
yandex.ru,4,1
forums.gentoo.org,3,3
