referrer,views_total,views_unique
Google,161,38
addaxdatascience.com,150,30
github.com,146,34
Bing,17,8
wildlabs.net,7,4
com.google.android.gm,6,3
edgeservices.bing.com,6,2
yandex.ru,5,2
statics.teams.cdn.office.net,3,2
mail.google.com,2,2
