time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-18 00:00:00+00:00,18,12,164,16
2024-12-19 00:00:00+00:00,6,6,48,10
2024-12-20 00:00:00+00:00,3,2,41,6
2024-12-21 00:00:00+00:00,1,1,12,7
2024-12-22 00:00:00+00:00,4,3,24,9
2024-12-23 00:00:00+00:00,8,6,51,11
2024-12-24 00:00:00+00:00,3,3,19,5
2024-12-25 00:00:00+00:00,8,3,46,7
2024-12-26 00:00:00+00:00,6,6,37,11
2024-12-27 00:00:00+00:00,3,3,37,14
2024-12-28 00:00:00+00:00,4,3,66,5
2024-12-29 00:00:00+00:00,4,2,7,6
2024-12-30 00:00:00+00:00,7,6,21,10
2024-12-31 00:00:00+00:00,4,3,39,11
