time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-04 00:00:00+00:00,25,17,72,16
2024-06-05 00:00:00+00:00,71,26,291,21
2024-06-06 00:00:00+00:00,39,25,125,18
2024-06-07 00:00:00+00:00,32,19,130,17
2024-06-08 00:00:00+00:00,15,11,20,6
2024-06-09 00:00:00+00:00,24,8,10,5
2024-06-10 00:00:00+00:00,27,17,87,17
2024-06-11 00:00:00+00:00,35,18,56,11
2024-06-12 00:00:00+00:00,19,14,72,21
2024-06-13 00:00:00+00:00,16,10,81,12
2024-06-14 00:00:00+00:00,18,14,113,9
2024-06-15 00:00:00+00:00,29,14,72,4
2024-06-16 00:00:00+00:00,7,3,18,6
2024-06-17 00:00:00+00:00,38,22,222,19
