referrer,views_total,views_unique
saul.cpsc.ucalgary.ca,157,24
Google,132,32
yandex.ru,52,1
addaxdatascience.com,48,12
github.com,22,13
Bing,20,8
wildlabs.net,5,2
auc-word-edit.officeapps.live.com,3,1
agentmorris.github.io,2,1
towardsai.net,2,1
