referrer,views_total,views_unique
pub.towardsai.net,84,8
petervanlunteren.github.io,59,15
Google,54,23
github.com,40,16
saul.cpsc.ucalgary.ca,28,9
towardsai-net.cdn.ampproject.org,11,2
wildlabs.net,6,5
addaxdatascience.com,5,1
joss.theoj.org,4,3
towardsai.net,4,1
