url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,410,115
/PetervanLunteren/EcoAssist/blob/main/EcoAssist_GUI.py,51,24
/PetervanLunteren/EcoAssist/blob/main/no_admin_install.md,46,13
/PetervanLunteren/EcoAssist/blob/main/README.md,44,15
/PetervanLunteren/EcoAssist/blob/main/install.bat,31,5
/PetervanLunteren/EcoAssist/edit/main/README.md,25,1
/PetervanLunteren/EcoAssist/commits/main,22,3
/PetervanLunteren/EcoAssist/issues,13,7
/PetervanLunteren/EcoAssist/branches,10,4
/PetervanLunteren/EcoAssist/blob/main/open.bat,10,2
