referrer,views_total,views_unique
Google,198,36
github.com,173,32
addaxdatascience.com,99,24
wildlabs.net,21,3
Bing,17,8
saul.cpsc.ucalgary.ca,9,3
pub.towardsai.net,8,3
agentmorris.github.io,4,3
DuckDuckGo,2,1
towardsai.net,2,1
