time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-14 00:00:00+00:00,10,6,17,11
2024-12-15 00:00:00+00:00,1,1,7,4
2024-12-16 00:00:00+00:00,9,7,102,14
2024-12-17 00:00:00+00:00,22,10,119,24
2024-12-18 00:00:00+00:00,18,12,164,16
2024-12-19 00:00:00+00:00,6,6,48,10
2024-12-20 00:00:00+00:00,3,2,41,6
2024-12-21 00:00:00+00:00,1,1,12,7
2024-12-22 00:00:00+00:00,4,3,24,9
2024-12-23 00:00:00+00:00,8,6,51,11
2024-12-24 00:00:00+00:00,3,3,19,5
2024-12-25 00:00:00+00:00,8,3,46,7
2024-12-26 00:00:00+00:00,6,6,37,11
2024-12-27 00:00:00+00:00,2,2,37,14
