time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-12 00:00:00+00:00,10,8,54.0,13.0
2022-12-13 00:00:00+00:00,8,6,18.0,7.0
2022-12-14 00:00:00+00:00,4,3,16.0,9.0
2022-12-15 00:00:00+00:00,2,2,29.0,9.0
2022-12-16 00:00:00+00:00,10,5,25.0,13.0
2022-12-17 00:00:00+00:00,5,5,8.0,6.0
2022-12-18 00:00:00+00:00,2,2,8.0,4.0
2022-12-19 00:00:00+00:00,5,3,10.0,5.0
2022-12-20 00:00:00+00:00,5,5,12.0,5.0
2022-12-21 00:00:00+00:00,4,3,6.0,4.0
2022-12-22 00:00:00+00:00,2,2,5.0,5.0
2022-12-23 00:00:00+00:00,2,2,5.0,1.0
2022-12-24 00:00:00+00:00,2,2,,
2022-12-25 00:00:00+00:00,1,1,5.0,2.0
