referrer,views_total,views_unique
Google,99,37
github.com,56,30
saul.cpsc.ucalgary.ca,48,9
pub.towardsai.net,42,7
petervanlunteren.github.io,35,9
addaxdatascience.com,13,3
Bing,6,1
towardsai-net.cdn.ampproject.org,5,2
wildlabs.net,4,2
linkedin.com,3,2
