referrer,views_total,views_unique
github.com,166,45
Google,127,36
addaxdatascience.com,72,27
Bing,32,10
wildlabs.net,7,5
towardsai.net,6,1
agentmorris.github.io,4,4
DuckDuckGo,4,2
yandex.ru,4,1
Yahoo,3,2
