time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-29 00:00:00+00:00,4.0,2.0,7,6
2024-12-30 00:00:00+00:00,7.0,6.0,21,10
2024-12-31 00:00:00+00:00,4.0,3.0,40,11
2025-01-01 00:00:00+00:00,8.0,4.0,28,5
2025-01-02 00:00:00+00:00,4.0,3.0,18,7
2025-01-03 00:00:00+00:00,4.0,4.0,15,10
2025-01-04 00:00:00+00:00,9.0,8.0,18,6
2025-01-05 00:00:00+00:00,5.0,4.0,26,9
2025-01-06 00:00:00+00:00,2.0,2.0,64,19
2025-01-07 00:00:00+00:00,5.0,4.0,19,13
2025-01-08 00:00:00+00:00,9.0,5.0,66,25
2025-01-09 00:00:00+00:00,14.0,10.0,47,23
2025-01-10 00:00:00+00:00,12.0,7.0,76,18
2025-01-11 00:00:00+00:00,,,3,2
