time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-07 00:00:00+00:00,3,2,3,2
2024-09-08 00:00:00+00:00,1,1,40,2
2024-09-09 00:00:00+00:00,9,9,144,19
2024-09-10 00:00:00+00:00,11,8,58,18
2024-09-11 00:00:00+00:00,8,7,29,16
2024-09-12 00:00:00+00:00,9,8,47,18
2024-09-13 00:00:00+00:00,3,3,33,13
2024-09-14 00:00:00+00:00,3,3,14,7
2024-09-15 00:00:00+00:00,8,5,46,11
2024-09-16 00:00:00+00:00,3,3,55,13
2024-09-17 00:00:00+00:00,4,3,40,8
2024-09-18 00:00:00+00:00,13,8,96,14
2024-09-19 00:00:00+00:00,11,8,36,7
2024-09-20 00:00:00+00:00,7,5,18,9
