referrer,views_total,views_unique
Google,128,46
github.com,61,18
saul.cpsc.ucalgary.ca,49,13
petervanlunteren.github.io,40,12
addaxdatascience.com,9,1
towardsai.net,8,4
Bing,5,2
pub.towardsai.net,4,1
wildlabs.net,2,2
partage.univ-ubs.fr,2,1
