referrer,views_total,views_unique
Google,191,44
Bing,123,12
towardsai.net,59,3
github.com,40,13
saul.cpsc.ucalgary.ca,36,6
addaxdatascience.com,31,7
euc-onenote.officeapps.live.com,22,1
DuckDuckGo,8,2
ecosia.org,7,3
statics.teams.cdn.office.net,4,2
