referrer,views_total,views_unique
github.com,200,35
Google,178,34
addaxdatascience.com,97,22
wildlabs.net,21,5
saul.cpsc.ucalgary.ca,9,3
Bing,8,6
pub.towardsai.net,8,3
app.titan.email,4,1
agentmorris.github.io,3,2
lila.science,3,2
