referrer,views_total,views_unique
Google,274,34
Bing,206,15
addaxdatascience.com,67,17
saul.cpsc.ucalgary.ca,53,12
github.com,27,15
pub.towardsai.net,14,4
ecosia.org,9,1
wildlabs.net,5,5
towardsai.net,4,2
statics.teams.cdn.office.net,3,2
