referrer,views_total,views_unique
saul.cpsc.ucalgary.ca,176,27
Google,142,36
yandex.ru,52,1
Bing,46,10
addaxdatascience.com,41,13
github.com,37,15
wildlabs.net,6,3
auc-word-edit.officeapps.live.com,3,1
agentmorris.github.io,2,1
towardsai.net,2,1
