referrer,views_total,views_unique
github.com,177,33
Google,137,32
addaxdatascience.com,54,21
wildlabs.net,40,6
Bing,16,5
Yahoo,12,2
agentmorris.github.io,5,4
DuckDuckGo,4,2
saul.cpsc.ucalgary.ca,3,3
towardsai.net,2,1
