referrer,views_total,views_unique
addaxdatascience.com,147,30
github.com,64,24
Google,43,22
towardsai.net,36,2
mail.google.com,18,2
Bing,16,10
wildlabs.net,10,4
pub.towardsai.net,3,2
daviddhofmann.github.io,1,1
agentmorris.github.io,1,1
