referrer,views_total,views_unique
github.com,75,15
Google,28,18
saul.cpsc.ucalgary.ca,19,10
wildlabs.net,16,6
petervanlunteren.github.io,7,1
cdn.iframe.ly,2,2
wildcolab.github.io,1,1
statics.teams.cdn.office.net,1,1
