url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,184,77
/PetervanLunteren/EcoAssist/blob/main/EcoAssist_GUI.py,54,5
/PetervanLunteren/EcoAssist/tree/main/markdown,53,2
/PetervanLunteren/EcoAssist/blob/main/README.md,44,12
/PetervanLunteren/EcoAssist/blob/main/markdown/debug_mode.md,39,6
/PetervanLunteren/EcoAssist/blob/main/markdown/install-from-zip/windows.md,32,2
/PetervanLunteren/EcoAssist/blob/main/classification_utils/model_types/addax-yolov8/classify_detections.py,27,2
/PetervanLunteren/EcoAssist/tree/main/classification_utils,22,5
/PetervanLunteren/EcoAssist/tree/main/model_info,18,5
/PetervanLunteren/EcoAssist/tree/main/classification_utils/model_types,17,3
