time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-04 00:00:00+00:00,3,3,14,5
2023-11-05 00:00:00+00:00,11,6,50,5
2023-11-06 00:00:00+00:00,13,7,27,12
2023-11-07 00:00:00+00:00,6,5,57,16
2023-11-08 00:00:00+00:00,12,6,60,17
2023-11-09 00:00:00+00:00,8,6,59,12
2023-11-10 00:00:00+00:00,41,16,283,19
2023-11-11 00:00:00+00:00,4,4,25,4
2023-11-12 00:00:00+00:00,2,2,44,5
2023-11-13 00:00:00+00:00,5,5,48,14
2023-11-14 00:00:00+00:00,20,10,115,19
2023-11-15 00:00:00+00:00,12,6,66,16
2023-11-16 00:00:00+00:00,12,9,51,17
2023-11-17 00:00:00+00:00,5,2,28,10
