time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-12 00:00:00+00:00,16,10,50,13
2024-01-13 00:00:00+00:00,4,3,20,6
2024-01-14 00:00:00+00:00,1,1,15,3
2024-01-15 00:00:00+00:00,7,7,43,9
2024-01-16 00:00:00+00:00,14,5,70,14
2024-01-17 00:00:00+00:00,10,7,80,13
2024-01-18 00:00:00+00:00,11,6,42,16
2024-01-19 00:00:00+00:00,3,2,55,12
2024-01-20 00:00:00+00:00,2,2,5,2
2024-01-21 00:00:00+00:00,4,2,49,4
2024-01-22 00:00:00+00:00,8,4,37,11
2024-01-23 00:00:00+00:00,6,5,79,15
2024-01-24 00:00:00+00:00,10,7,109,20
2024-01-25 00:00:00+00:00,27,9,134,19
