referrer,views_total,views_unique
Google,119,37
github.com,97,17
addaxdatascience.com,37,13
Bing,8,5
DuckDuckGo,3,2
community.hiveeyes.org,2,2
dropbox.com,2,1
zenodo.org,2,1
towardsai.net,2,1
agentmorris.github.io,2,1
