referrer,views_total,views_unique
Google,132,50
pub.towardsai.net,101,19
petervanlunteren.github.io,83,20
github.com,72,22
saul.cpsc.ucalgary.ca,45,14
Bing,25,13
DuckDuckGo,12,2
towardsai.net,7,2
wildlabs.net,6,4
dmorris.net,6,1
