url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,252,90
/PetervanLunteren/EcoAssist/blob/main/README.md,40,13
/PetervanLunteren/EcoAssist/blob/main/install.bat,24,2
/PetervanLunteren/EcoAssist/edit/main/README.md,19,1
/PetervanLunteren/EcoAssist/blob/main/EcoAssist_GUI.py,12,2
/PetervanLunteren/EcoAssist/issues,10,5
/PetervanLunteren/EcoAssist/blob/JOSS-submission/paper.md,9,1
/PetervanLunteren/EcoAssist/pull/7,7,3
/PetervanLunteren/EcoAssist/tree/JOSS-submission,7,1
/PetervanLunteren/EcoAssist/blob/main/citation.cff,6,1
