referrer,views_total,views_unique
github.com,208,35
Google,182,35
addaxdatascience.com,97,22
wildlabs.net,20,5
saul.cpsc.ucalgary.ca,9,3
Bing,8,6
pub.towardsai.net,8,3
lila.science,3,2
agentmorris.github.io,3,2
DuckDuckGo,2,1
