url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,295,92
/PetervanLunteren/EcoAssist/issues,49,12
/PetervanLunteren/EcoAssist/blob/main/README.md,40,7
/PetervanLunteren/EcoAssist/blob/main/install.bat,36,7
/PetervanLunteren/EcoAssist/blob/main/install.command,23,2
/PetervanLunteren/EcoAssist/issues/12,22,6
/PetervanLunteren/EcoAssist/edit/main/README.md,19,1
/PetervanLunteren/EcoAssist/issues/10,15,5
/PetervanLunteren/EcoAssist/stargazers,14,1
/PetervanLunteren/EcoAssist/blob/main/EcoAssist_GUI.py,13,5
