url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,174,63
/PetervanLunteren/EcoAssist/blob/main/MacOS_Linux_install_EcoAssist.command,42,1
/PetervanLunteren/EcoAssist/blob/main/Windows_no_admin_install.md,23,11
/PetervanLunteren/EcoAssist/edit/main/MacOS_Linux_install_EcoAssist.command,17,1
/PetervanLunteren/EcoAssist/blob/main/README.md,16,10
/PetervanLunteren/EcoAssist/blob/main/imgs/users.jpg,11,7
/PetervanLunteren/EcoAssist/blob/main/EcoAssist_GUI.py,7,4
/PetervanLunteren/EcoAssist/releases/tag/v3.0,5,4
/PetervanLunteren/EcoAssist/blob/main/imgs/demo.gif,4,4
/PetervanLunteren/EcoAssist/commits/main,4,2
