time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-13 00:00:00+00:00,5.0,5.0,48,14
2023-11-14 00:00:00+00:00,20.0,10.0,115,19
2023-11-15 00:00:00+00:00,12.0,6.0,66,16
2023-11-16 00:00:00+00:00,12.0,9.0,51,17
2023-11-17 00:00:00+00:00,6.0,3.0,28,10
2023-11-18 00:00:00+00:00,4.0,4.0,20,5
2023-11-19 00:00:00+00:00,6.0,3.0,13,5
2023-11-20 00:00:00+00:00,24.0,9.0,124,23
2023-11-21 00:00:00+00:00,17.0,10.0,120,20
2023-11-22 00:00:00+00:00,12.0,8.0,85,15
2023-11-23 00:00:00+00:00,12.0,7.0,46,10
2023-11-24 00:00:00+00:00,25.0,12.0,89,8
2023-11-25 00:00:00+00:00,18.0,15.0,16,7
2023-11-26 00:00:00+00:00,,,3,3
