url_path,views_total,views_unique
/PetervanLunteren/EcoAssist,203,83
/PetervanLunteren/EcoAssist/blob/main/install.bat,36,4
/PetervanLunteren/EcoAssist/blob/main/EcoAssist_GUI.py,23,8
/PetervanLunteren/EcoAssist/edit/main/install.bat,9,1
/PetervanLunteren/EcoAssist/blob/main/README.md,8,5
/PetervanLunteren/EcoAssist/commits/main,8,2
/PetervanLunteren/EcoAssist/blob/main/imgs/demo.gif,6,5
/PetervanLunteren/EcoAssist/releases/tag/v3.0,6,5
/PetervanLunteren/EcoAssist/issues,6,4
/PetervanLunteren/EcoAssist/blob/github-repo-stats/PetervanLunteren/EcoAssist/latest-report/report.pdf,6,1
